Job Category,Date&Time,Searched Job Title,Searched Job Location,Job Portal,Job Date Posted,Job Title,Company Name,Job Location,Job Phone No,Job Email,Job Link,Job Description
,,,,,,,,,,,,
Python/Django Developer,Jul-23-2020 17:17:04,Python Developer,San Francisco,Monster,Posted today,Python Backend Developer,Mainz Brady Group,"Oakland, CA",,,https://job-openings.monster.com/python-backend-developer-oakland-ca-us-mainz-brady-group/218676290,"Seeking a Python Backend Developer to help design a new FinTech system from the ground up. This is a Contract-to-Hire position (6-months contract, then conversion to FTE), in Oakland, CA.
Summary:
Build Microservices and deployments in pods on Kubernetes. Make your mark - and shape how our company technology stack is written, tested, monitored and delivered.
Responsibilities:
Lead development of a completely new system for loan management from the ground up.
Build robust infrastructure to support new services and products.
Work with product and design to inform tradeoffs and scalability concerns.
Collaborate with legal and compliance to understand how to build compliant products.
Required Skills:
3-5+ years Python programming experience.
5+ years of full stack agile software development experience.
Experience designing and building APIs.
Experience designing and building Microservices.
Ability to write clean, reliable code that can be easily maintained and tested.
Kubernetes and containers experience is a strong plus.
Go experience is a plus.
Bachelor’s degree in Computer Science, Engineering, Math or relevant technical experience.
Report this job"
,,,,,,,,,,,,
Python/Django Developer,Jul-23-2020 17:17:05,Python Developer,San Francisco,Monster,2 days ago,Senior Python Engineer - FULL REMOTE,CyberCoders,"San Francisco, CA",,,https://job-openings.monster.com/senior-python-engineer-full-remote-san-francisco-ca-us-cybercoders/219036646,"Are you a Senior Python Engineer who wants to work fully REMOTE and grow with an early team and contribute meaningfully? If so, read on...


We are a successful startup that is making it easier for companies to communicate directly with their customers! Our platform has had a ton of success and averages a 35% click through rate! Because of this new growth (and massively increased revenue generation)....we're looking to expand our team.



This is a brand new opening for someone who's got Python chops. We prefer that you've had prior startup experience in a Senior or Lead capacity since we're still a small team but we have plans to double next year so there's a ton of room for architectural growth and leadership!
What You Will Be Doing
- Organize full lifecycle software development
- Write well designed, testable, efficient code

- Come up with procedures and frameworks to avoid technical debt

- Create efficient architectural and database design

- Evaluate and deploy software tools, processes and metrics

- Help other engineers excel in their job and in their careers

- Create amazing things that scale
What You Need for this Position
- 5+ yrs experience
- Significant experience in developing web applications using at least one popular scripted language, such as Python, Node, Javascript (We Use Python)

- Excellent knowledge of Relational Databases, SQL and ORM technologies (JPA2, Hibernate)

- Have lots of experience on the deployment side, and have worked with AWS

- Some experience in working with Frontend technologies such as Angular, React. (this is not as important to this role)



* HUGE PLUS: any experience with messaging Queues and task managers such as RabbitMQ, Redis, or Celery/Kafka
What's In It for You
- Medical, Dental, Vision
- Fully REMOTE capacity

- Access to 401k

- Endless snacks

La Croix!
So if you are a Senior Python Engineer who is looking to be valued, APPLY TODAY!
Report this job"
,,,,,,,,,,,,
Python/Django Developer,Jul-23-2020 17:17:06,Python Developer,San Francisco,Monster,8 days ago,Web Developer(PHP/Python).,ICONMA,"Menlo Park, CA",['(804) 915-7158'],,https://job-openings.monster.com/web-developer-php-python-menlo-park-ca-us-iconma/218949411,"Location: Menlo Park, CA
Duration: 6-7 months

Description:
- Work with teams to improve various internal team organization tools to help optimize our workflows.
- Works with PMs, TPMs, engineers, and designers to understand tools needs and map out and implement various programming tasks to add modularized functionality to our internal tools supporting specific improvements.
Skills:
Knowledge of at least one of the following languages:
- PHP, Python. Knowledge of SQL preferred.
- Experience in helping to understand the needs of teams and building internal tools to support them.
Education:
- BS + 2 years of experience in Software Engineering
- Minimum Degree Required: Bachelor's Degree
Required:
- Engineer
- PHP
- Python
- Software Engineer
- SQL
Additional:
- Software Engineering
Languages:
- English (Speak, Read, Write)

As an equal opportunity employer, ICONMA prides itself on creating an employment environment that supports and encourages the abilities of all persons regardless of race, color, gender, age, sexual orientation, citizenship, or disability.

Ashu Bandyopadhya
yP: (804) 915-7158  
Report this job"
,,,,,,,,,,,,
Python/Django Developer,Jul-23-2020 17:17:08,Python Developer,San Francisco,Monster,18 days ago,"Full Stack Engineer Python, PHP, React",Jobot,"San Francisco, CA",,,https://job-openings.monster.com/full-stack-engineer-python-php-react-san-francisco-ca-us-jobot/218715089,"Join us as we change the way food makes it from farm to table!

This Jobot Job is hosted by: Brendan Thomas
Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume.

A bit about us:

We care deeply about where our food comes from and how it gets to our plate. We’re building software to make that process more efficient and transparent.
We’re a small team looking to disrupt the $300B+ food and restaurant industry. Think Flexport for the food service industry, but with bigger margins.

Why join us?
Great comp package w/ benefits.
Work directly with the founders.
Have complete ownership of several systems and products.
Have the power to shape the technology choices we make as we scale.
Work on product and infrastructure.


Job Details

TECH: Python, Ruby, PHP, JS, React, GraphQL, AWS

Must have 2+ years experience in industry or significant contributions to open source software and be comfortable in most parts of the stack and willing to learn new ones. Need to love working in a fast paced (we deploy 10+ times a day) environment with changing requirements and few guardrails.

Extra credit: experience working at a restaurant a plus!

Interested in hearing more? Easy Apply now by clicking the ""Apply Now"" button.
Report this job"
,,,,,,,,,,,,
Python/Django Developer,Jul-23-2020 17:17:09,Python Developer,San Francisco,Monster,2 days ago,"Senior Backend Software Engineer (REMOTE) - Python, Flask, AWS",CyberCoders,"San Francisco, CA",,,https://job-openings.monster.com/senior-backend-software-engineer-remote-python-flask-aws-san-francisco-ca-us-cybercoders/219036515,"If you are a Senior Backend Software Engineer with experience, please read on!


Were working to provide communities with 24-hour COVID-19 testing at scale with a significantly more efficient and precise oral fluid test that reduces pressure on medical supply chains and healthcare workers.
What You Will Be Doing
- Data integrations between our systems and public health departments via a REST API to report results
- Standing up our own API endpoints for our partners to use; pushing data over to our partners APIs

- Schedule jobs to import/export data in various formats
What You Need for this Position
- Stack: Python (Flask), AWS, Postgres
- REST API

- Biotechnology experience
What's In It for You
- Competitive Base Salary DOE
- Vacation/PTO

- Medical

- Dental

- Vision

- 401k
So, if you are a Senior Backend Software Engineer with experience, please apply today!
Report this job"
