Job Category,Date,Searched Job Title,Searched Job Location,Job Portal,Job Date Posted,Job Title,Company Name,Job Location,Job Phone No.,Job Email,Job Link,Job Description
,,,,,,,,,,,,
QA,Aug-06-2020 14:27:31,SDET,Franklin-TN,Monster,13 days ago,Sr. SDET (C#/ Selenium),Qentelli,"Nashvle, TN",,,https://job-openings.monster.com/sr-sdet-c-selenium-nashvle-tn-us-qentelli/219125228,"Title: SDET (C#/ Selenium)
Duration: 12+ Months
Location: Nashville, TN
Skills:
1. Selenium
2. C#
3. Mobile Testing

Need senior SDET with excellent experience with Selenium and who has worked on testing of C# based applications.

The position will be remote till the COVID situation ends.
Report this job"
,,,,,,,,,,,,
QA,Aug-06-2020 14:27:33,SDET,Franklin-TN,Monster,13 days ago,Sr. Python Engineer/ SDET,Qentelli,"Nashvle, TN",,,https://job-openings.monster.com/sr-python-engineer-sdet-nashvle-tn-us-qentelli/219125237,"Title: Sr, Python Engineer/ SDET
Location: Nashville, TN
Duration: 24+ Months
Minimum 5 years’ experience with Python and Selenium.
Experience with pytest.
Experience in developing Test Automation frameworks.
Experience with Selenium Grid.
Experience with Test Automation in CI/CD pipeline.
Strong understanding of QA and QE
Experience with Docker is a plus
Experience in mobile testing with Appium is a plus
Report this job"
,,,,,,,,,,,,
QA,Aug-06-2020 14:27:34,SDET,Franklin-TN,Monster,Posted today,Senior Software Development Engineer in Test (SDET),IDEMIA,"Franklin, TN",,isisisisis,https://job-openings.monster.com/senior-software-development-engineer-in-test-sdet-franklin-tn-us-idemia/ce3581d0-6494-4059-9890-58211cace649,"IDEMIA is the global leader in identity and security. Our mission is to create a safe and simple future where identity verification is indisputable, and only you can assert your identity. We are a distributed company leveraging the latest technologies to deliver world-class products in the private and public sectors of finance, telecom, identity, security, retail, sports entertainment, commercial, government, and IoT. We use a variety of technologies and approaches to deliver quality product and services to government agencies and technology companies. IDEMIA is a made up of a group of 14,000 diverse people from different nationalities, speaking over 20 different languages. Together, our solutions impact the everyday lives of citizens and nations. In this ever-changing world, protecting your identity is paramount. Join the team that is ensuring one person- one identity.
About the Role:
We are looking for aseniorsoftware engineer in test to join ourengineeringteam in Franklin, TN. In this role, you will be a contributor on a team of developers to design and build automated testsforsecure servicesand applications that make up ourSaaS biometric-based enrollment ecosystem that delivers services to millions of customers.


Required Skills
You are a US Citizen (required)
You have5+ years of experience as a software engineer or software engineer in test.
You are a self-starter with a strong work ethic and attention to detail.
Youdo notlet the boundaries of essential responsibilities limit what you can do to help the team
You possess a tenacious need to learn and grow.
You arehighly skilledwith the Java programming language, Linux, SQL, and object-oriented concepts.
You have experience with Spring, JPA, Hibernate, and Domain Driven Design.
You have experience testing backend monolithic applications that have migrated to microservice architecture.
You have experience utilizing Amazon Web Services as part of solutions.
You have written as well as maintained unit and integration tests.
Whatarethehigh levelessential responsibilities?
You willsupport thetesting implementation to support the development and maintenance ofhighly scalable, fault-tolerant, enrollment platformmicroservices and applications.
You will identify and executefixes to resolvetechnical debt items on our automation ecosystem.
You will participate in design and development of quality practices through test strategies and test automation.
You will refactor and update existing regression test suites for new enhancements.


Required Experience
Must be United States citizen (dual citizenship may be allowed)
IDEMIA is an equal opportunity employer.
We evaluate qualified applicants without regard to race, color, religion, sex,
sexual orientation, gender identity, national origin, disability, veteran status, and other protected characteristics.
Report this job"
,,,,,,,,,,,,
QA,Aug-06-2020 14:27:35,SDET,Franklin-TN,Monster,22 days ago,Senior Software Development Engineer in Test (SDET),MorphoTrust,"Franklin, TN",452-562-6589,,https://job-openings.monster.com/senior-software-development-engineer-in-test-sdet-franklin-tn-us-morphotrust/08573144-685f-4d98-ab3e-edab7614a930,"IDEMIA is the global leader in identity and security. Our mission is to create a safe and simple future where identity verification is indisputable, and only you can assert your identity. We are a distributed company leveraging the latest technologies to deliver world-class products in the private and public sectors of finance, telecom, identity, security, retail, sports entertainment, commercial, government, and IoT. We use a variety of technologies and approaches to deliver quality product and services to government agencies and technology companies. IDEMIA is a made up of a group of 14,000 diverse people from different nationalities, speaking over 20 different languages. Together, our solutions impact the everyday lives of citizens and nations. In this ever-changing world, protecting your identity is paramount. Join the team that is ensuring one person- one identity.
About the Role:
We are looking for aseniorsoftware engineer in test to join ourengineeringteam in Franklin, TN. In this role, you will be a contributor on a team of developers to design and build automated testsforsecure servicesand applications that make up ourSaaS biometric-based enrollment ecosystem that delivers services to millions of customers.
You are a US Citizen (required)
You have5 years of experience as a software engineer or software engineer in test.
You are a self-starter with a strong work ethic and attention to detail.
Youdo notlet the boundaries of essential responsibilities limit what you can do to help the team
You possess a tenacious need to learn and grow.
You arehighly skilledwith the Java programming language, Linux, SQL, and object-oriented concepts.
You have experience with Spring, JPA, Hibernate, and Domain Driven Design.
You have experience testing backend monolithic applications that have migrated to microservice architecture.
You have experience utilizing Amazon Web Services as part of solutions.
You have written as well as maintained unit and integration tests.
Whatarethehigh levelessential responsibilities?
You willsupport thetesting implementation to support the development and maintenance ofhighly scalable, fault-tolerant, enrollment platformmicroservices and applications.
You will identify and executefixes to resolvetechnical debt items on our automation ecosystem.
You will participate in design and development of quality practices through test strategies and test automation.
You will refactor and update existing regression test suites for new enhancements.
Must be United States citizen (dual citizenship may be allowed)
IDEMIA is an equal opportunity employer.
We evaluate qualified applicants without regard to race, color, religion, sex,
sexual orientation, gender identity, national origin, disability, veteran status, and other protected characteristics.
Report this job"
,,,,,,,,,,,,
QA,Aug-06-2020 14:27:36,SDET,Franklin-TN,Monster,+30 days ago,SDET Test Automation,LanceSoft Inc,"Franklin, TN",,,https://job-openings.monster.com/sdet-test-automation-franklin-tn-us-lancesoft-inc/c166d1b6-178d-491b-a726-093d6899791b,"Job Description:
Regarding SDET – Test Automation – Candidate need not have development skills in Angular, our need is developing automation test for Angular applications. Protractor is a testing framework for angular application, so candidates having good experience in Protractor will have experience in testing Angular application. We are ok if the candidates don't have test cafe´ it is not mandatory. Please note this is a Sr. QA position, so candidates should have good experience in developing automation test framework from scratch. Engineering background (SDET) + Test Automation + Protractor are absolute must, if the candidate is really strong in these areas but less experience with other skills and has a track record of learning new skills and contributing then we will give a try.
Report this job"
